id_cliente,abandono,genero,tercera_edad,tiene_pareja,dependientes,meses_contrato,servicio_telefónico,varias_líneas,servicio_internet,seguridad_online,respaldo_online,protección_dispositivos,soporte_tecnico,tv_por_cable,streming_peliculas,tipo_contrato,factura_electronica,metodo_pago,cargos_mensuales,total_cargos,cargos_diarios
0002_orfbo,0,0,0,1,1,9,1,0,dsl,0,1,0,1,1,0,one_year,1,mailed_check,65.6,593.3,2.19
0003_mknfe,0,1,0,0,0,9,1,1,dsl,0,0,0,0,0,1,month_to_month,0,mailed_check,59.9,542.4,2.0
0004_tlhlj,1,1,0,0,0,4,1,0,fiber_optic,0,0,1,0,0,0,month_to_month,1,electronic_check,73.9,280.85,2.46
0011_igkff,1,1,1,1,0,13,1,0,fiber_optic,0,1,1,0,1,1,month_to_month,1,electronic_check,98.0,1237.85,3.27
0013_exchz,1,0,1,1,0,3,1,0,fiber_optic,0,0,0,1,1,0,month_to_month,1,mailed_check,83.9,267.4,2.8
0013_mhzwf,0,0,0,0,1,9,1,0,dsl,0,0,0,1,1,1,month_to_month,1,credit_card_(automatic),69.4,571.45,2.31
0013_smeoe,0,0,1,1,0,71,1,0,fiber_optic,1,1,1,1,1,1,two_year,1,bank_transfer_(automatic),109.7,7904.25,3.66
0014_bmaqu,0,1,0,1,0,63,1,1,fiber_optic,1,0,0,1,0,0,two_year,1,credit_card_(automatic),84.65,5377.8,2.82
0015_uocoj,0,0,1,0,0,7,1,0,dsl,1,0,0,0,0,0,month_to_month,1,electronic_check,48.2,340.35,1.61
0016_qljis,0,0,0,1,1,65,1,1,dsl,1,1,1,1,1,1,two_year,1,mailed_check,90.45,5957.9,3.02
0017_dinoc,0,1,0,0,0,54,0,0,dsl,1,0,0,1,1,0,two_year,0,credit_card_(automatic),45.2,2460.55,1.51
0017_iudmw,0,0,0,1,1,72,1,1,fiber_optic,1,1,1,1,1,1,two_year,1,credit_card_(automatic),116.8,8456.75,3.89
0018_nyrou,0,0,0,1,0,5,1,0,fiber_optic,0,0,0,0,0,0,month_to_month,1,electronic_check,68.95,351.5,2.3
0019_efaep,0,0,0,0,0,72,1,1,fiber_optic,1,1,1,0,1,0,two_year,1,bank_transfer_(automatic),101.3,7261.25,3.38
0019_gfntw,0,0,0,0,0,56,0,0,dsl,1,1,1,1,0,0,two_year,0,bank_transfer_(automatic),45.05,2560.1,1.5
0020_inwck,0,0,0,1,1,71,1,1,fiber_optic,0,1,1,0,0,1,two_year,1,credit_card_(automatic),95.75,6849.4,3.19
0020_jdnxp,0,0,0,1,1,34,0,0,dsl,1,0,1,1,1,1,one_year,0,mailed_check,61.25,1993.2,2.04
0021_ikxgc,0,0,1,0,0,1,1,1,fiber_optic,0,0,0,0,0,0,month_to_month,1,electronic_check,72.1,72.1,2.4
0022_tcjci,1,1,1,0,0,45,1,0,dsl,1,0,1,0,0,1,one_year,0,credit_card_(automatic),62.7,2791.5,2.09
0023_hghwl,1,1,1,0,0,1,0,0,dsl,0,0,0,0,0,0,month_to_month,1,electronic_check,25.1,25.1,0.84
0023_uyupn,0,0,1,1,0,50,1,1,no,0,0,0,0,0,0,one_year,0,electronic_check,25.2,1306.3,0.84
0023_xuopt,1,0,0,1,0,13,1,1,fiber_optic,0,1,1,0,1,0,month_to_month,0,electronic_check,94.1,1215.6,3.14
0027_kwykw,0,0,0,1,1,23,1,1,fiber_optic,0,0,0,0,1,0,month_to_month,1,electronic_check,83.75,1849.95,2.79
0030_fnxpp,0,0,0,0,0,3,1,0,no,0,0,0,0,0,0,month_to_month,0,mailed_check,19.85,57.2,0.66
0031_pvlzi,1,0,0,1,1,4,1,0,no,0,0,0,0,0,0,month_to_month,0,mailed_check,20.35,76.35,0.68
0032_pgels,1,0,0,1,1,1,0,0,dsl,1,0,0,0,0,0,month_to_month,0,bank_transfer_(automatic),30.5,30.5,1.02
0036_ihmot,0,0,0,1,1,55,1,0,fiber_optic,0,1,1,1,1,1,one_year,1,bank_transfer_(automatic),103.7,5656.75,3.46
0040_halcw,0,1,0,1,1,54,1,0,no,0,0,0,0,0,0,two_year,0,credit_card_(automatic),20.4,1090.6,0.68
0042_jvwoj,0,1,0,0,0,26,1,0,no,0,0,0,0,0,0,one_year,1,bank_transfer_(automatic),19.6,471.85,0.65
0042_rlhyp,0,0,0,1,1,69,1,0,no,0,0,0,0,0,0,two_year,0,bank_transfer_(automatic),19.7,1396.9,0.66
0048_lumls,0,1,0,1,1,37,1,0,fiber_optic,0,0,0,0,1,1,one_year,0,credit_card_(automatic),91.2,3247.55,3.04
0048_pihnl,0,0,0,1,0,49,1,0,no,0,0,0,0,0,0,one_year,0,bank_transfer_(automatic),20.45,900.9,0.68
0052_dckon,0,1,0,1,0,66,1,1,fiber_optic,1,1,1,1,1,1,one_year,0,bank_transfer_(automatic),115.8,7942.15,3.86
0052_ynyot,0,0,0,0,0,67,1,0,no,0,0,0,0,0,0,one_year,0,electronic_check,20.55,1343.4,0.68
0056_epfbg,0,1,0,1,1,20,0,0,dsl,1,0,1,1,0,0,two_year,1,credit_card_(automatic),39.4,825.4,1.31
0057_qbuqh,0,0,0,0,1,43,1,1,no,0,0,0,0,0,0,two_year,1,electronic_check,25.1,1070.15,0.84
0058_evzwm,0,0,0,1,0,55,1,1,fiber_optic,1,0,0,0,1,0,month_to_month,1,bank_transfer_(automatic),89.8,4959.6,2.99
0060_fualy,0,0,0,1,0,59,1,1,fiber_optic,1,1,0,0,1,0,month_to_month,1,electronic_check,94.75,5597.65,3.16
0064_sudog,0,0,0,1,1,12,1,0,no,0,0,0,0,0,0,two_year,0,bank_transfer_(automatic),20.3,224.5,0.68
0064_yijgf,0,1,0,1,1,27,1,1,fiber_optic,0,0,0,0,0,0,month_to_month,1,bank_transfer_(automatic),75.75,1929.0,2.52
0067_dkwbl,1,1,1,0,0,2,1,0,dsl,1,0,0,0,0,0,month_to_month,1,electronic_check,49.25,91.1,1.64
0068_figtf,0,0,0,0,0,27,1,0,dsl,0,1,1,1,1,1,one_year,0,mailed_check,78.2,2078.95,2.61
0071_ndafp,0,1,0,1,1,25,1,1,no,0,0,0,0,0,0,two_year,0,credit_card_(automatic),25.5,630.6,0.85
0074_hdkdg,0,1,0,1,1,25,1,0,dsl,1,1,1,0,0,0,one_year,1,bank_transfer_(automatic),61.6,1611.0,2.05
0076_lveps,0,1,0,0,1,29,0,0,dsl,1,1,1,1,0,0,month_to_month,1,mailed_check,45.0,1242.45,1.5
0078_xzmht,0,1,0,1,0,72,1,1,dsl,0,1,1,1,1,1,two_year,1,bank_transfer_(automatic),85.15,6316.2,2.84
0080_emyvy,0,0,0,0,0,14,1,0,dsl,0,1,0,0,0,0,one_year,0,credit_card_(automatic),51.45,727.85,1.72
0080_orozo,0,0,0,0,0,35,1,0,fiber_optic,0,0,1,1,1,1,one_year,1,electronic_check,99.25,3532.0,3.31
0082_ldzue,0,1,0,0,0,1,1,0,dsl,0,0,0,0,0,0,month_to_month,1,mailed_check,44.3,44.3,1.48
0082_oqiqy,0,1,0,0,0,29,1,0,fiber_optic,0,0,0,1,1,1,month_to_month,1,electronic_check,94.2,2607.6,3.14
0083_pivik,0,1,0,0,0,64,1,1,dsl,1,1,1,1,1,0,one_year,0,electronic_check,81.25,5567.55,2.71
0089_iiqko,0,0,0,1,1,39,1,1,fiber_optic,0,0,0,1,1,1,month_to_month,1,credit_card_(automatic),99.95,3767.4,3.33
0093_exyql,0,0,1,0,0,40,1,0,fiber_optic,0,0,0,0,1,1,month_to_month,1,electronic_check,91.55,3673.6,3.05
0093_xwzfy,1,1,0,0,0,40,1,1,fiber_optic,0,1,1,0,1,1,month_to_month,1,credit_card_(automatic),104.5,4036.85,3.48
0094_oifmo,1,0,1,0,0,11,1,0,fiber_optic,0,1,0,0,1,1,month_to_month,1,electronic_check,95.0,1120.3,3.17
0096_bxers,0,0,0,1,0,6,1,1,dsl,0,0,0,0,0,0,month_to_month,0,electronic_check,50.35,314.55,1.68
0096_fcpuf,0,1,0,0,0,30,1,1,dsl,1,0,0,0,0,1,month_to_month,1,mailed_check,64.5,1888.45,2.15
0098_bowso,0,1,0,0,0,27,1,0,no,0,0,0,0,0,0,month_to_month,1,electronic_check,19.4,529.8,0.65
0100_duvfc,0,1,1,1,0,70,1,1,fiber_optic,0,1,1,0,1,1,one_year,1,electronic_check,104.8,7308.95,3.49
0103_csitq,0,0,0,1,0,57,1,1,fiber_optic,0,1,1,1,1,1,one_year,1,bank_transfer_(automatic),109.4,6252.7,3.65
0104_ppxdv,0,1,0,1,0,58,1,0,dsl,0,0,1,0,0,0,one_year,0,credit_card_(automatic),50.3,2878.55,1.68
0106_ghrqr,0,1,0,0,0,16,1,1,dsl,0,1,1,0,0,1,month_to_month,1,bank_transfer_(automatic),71.4,1212.1,2.38
0106_ugrdo,0,0,0,1,0,69,1,1,fiber_optic,1,1,1,1,1,1,two_year,1,electronic_check,116.0,8182.85,3.87
0107_weslm,1,1,0,0,0,1,1,0,no,0,0,0,0,0,0,month_to_month,1,electronic_check,19.85,19.85,0.66
0107_yhina,1,1,0,0,1,1,1,1,fiber_optic,0,0,1,0,1,1,month_to_month,1,electronic_check,99.75,99.75,3.32
0111_klbqg,0,1,1,1,1,32,1,0,fiber_optic,0,1,0,0,1,1,month_to_month,1,mailed_check,93.95,2861.45,3.13
0112_qawrz,0,1,0,1,1,16,1,1,fiber_optic,0,0,1,0,1,0,month_to_month,1,bank_transfer_(automatic),90.8,1442.2,3.03
0112_qwpnc,1,1,0,1,0,49,1,1,dsl,1,0,1,1,1,1,one_year,0,electronic_check,84.35,4059.35,2.81
0114_igabw,0,0,0,1,0,71,0,0,dsl,0,1,1,1,1,1,two_year,0,bank_transfer_(automatic),58.25,4145.9,1.94
0114_pegzz,0,0,0,0,0,33,1,1,fiber_optic,0,1,1,0,1,1,month_to_month,0,electronic_check,107.55,3645.5,3.58
0114_rsrrw,0,0,0,1,0,10,1,0,no,0,0,0,0,0,0,month_to_month,1,bank_transfer_(automatic),19.95,187.75,0.66
0115_tfert,1,1,0,1,0,21,1,1,fiber_optic,0,1,1,1,1,1,month_to_month,1,electronic_check,111.2,2317.1,3.71
0117_lfrmw,1,1,0,1,1,37,0,0,dsl,1,1,1,0,0,0,month_to_month,0,bank_transfer_(automatic),40.2,1448.8,1.34
0118_jpnoy,0,0,1,0,0,26,1,0,fiber_optic,1,0,0,0,1,0,month_to_month,1,credit_card_(automatic),85.8,2193.65,2.86
0121_snyrk,0,1,0,0,0,50,0,0,dsl,1,0,0,1,0,0,one_year,1,mailed_check,35.4,1748.9,1.18
0122_oahpz,1,0,0,0,0,7,1,1,fiber_optic,0,0,0,0,0,0,month_to_month,1,electronic_check,73.85,511.25,2.46
0123_crbrt,0,0,0,1,1,61,1,1,dsl,1,1,1,1,1,1,two_year,0,mailed_check,88.1,5526.75,2.94
0125_lzqxk,1,1,0,0,0,15,1,0,fiber_optic,0,0,1,1,1,1,month_to_month,1,electronic_check,101.35,1553.95,3.38
0128_mkwsg,0,0,0,0,1,26,0,0,dsl,1,0,0,1,0,1,month_to_month,0,mailed_check,45.8,1147.0,1.53
0129_kptwj,0,1,0,1,0,72,1,0,fiber_optic,0,0,1,0,1,1,month_to_month,1,electronic_check,94.65,6747.35,3.16
0129_qmpdr,0,1,0,1,1,44,1,0,no,0,0,0,0,0,0,one_year,1,bank_transfer_(automatic),20.5,865.05,0.68
0130_sxoun,0,1,0,0,0,66,1,1,fiber_optic,0,1,0,0,0,1,month_to_month,0,credit_card_(automatic),89.4,5976.9,2.98
0133_bmfzo,1,0,0,0,0,2,1,0,fiber_optic,1,1,0,1,0,0,month_to_month,1,electronic_check,86.25,181.65,2.88
0134_xwxce,0,0,1,0,0,44,1,0,dsl,0,0,1,1,1,1,one_year,0,bank_transfer_(automatic),74.85,3268.05,2.49
0135_nmxap,1,0,0,0,0,12,1,1,fiber_optic,0,1,0,0,1,0,month_to_month,1,bank_transfer_(automatic),89.75,1052.4,2.99
0136_ifmyd,0,1,1,1,0,69,1,1,fiber_optic,0,1,1,1,1,1,two_year,1,electronic_check,109.95,7634.25,3.66
0137_ocgab,1,0,0,0,0,1,1,1,fiber_optic,0,1,0,0,0,0,month_to_month,1,mailed_check,80.2,80.2,2.67
0137_udeuo,1,0,0,0,0,3,1,0,no,0,0,0,0,0,0,month_to_month,0,mailed_check,19.85,63.75,0.66
0139_ivfjg,0,0,0,1,0,2,1,0,fiber_optic,1,1,0,0,1,0,month_to_month,0,electronic_check,90.35,190.5,3.01
0141_yeays,0,0,1,0,0,27,1,1,fiber_optic,0,1,1,0,0,0,month_to_month,1,bank_transfer_(automatic),86.45,2401.05,2.88
0142_gvysn,0,1,0,0,0,26,1,0,no,0,0,0,0,0,0,month_to_month,1,electronic_check,20.3,511.25,0.68
0147_eswwr,0,0,1,1,0,39,1,1,fiber_optic,0,0,0,1,1,1,month_to_month,1,electronic_check,101.25,3949.15,3.38
0148_dcdos,1,1,0,0,0,25,1,1,fiber_optic,0,0,0,0,1,1,month_to_month,1,bank_transfer_(automatic),94.7,2362.1,3.16
0151_ontov,1,0,0,0,0,1,1,0,fiber_optic,0,0,0,0,0,0,month_to_month,0,mailed_check,70.9,70.9,2.36
0156_fvpta,1,1,0,1,0,22,1,0,dsl,1,0,0,1,0,0,month_to_month,1,electronic_check,54.2,1152.7,1.81
0164_apgrb,0,0,0,0,0,72,1,1,fiber_optic,1,1,1,1,1,1,two_year,1,electronic_check,114.9,8496.7,3.83
0164_xairp,0,0,0,0,0,24,1,0,no,0,0,0,0,0,0,two_year,1,bank_transfer_(automatic),19.55,470.2,0.65
0168_xzkbb,0,0,0,1,0,19,1,1,fiber_optic,0,0,0,0,1,0,month_to_month,1,electronic_check,86.85,1564.4,2.9
0174_qrvvy,0,1,0,1,1,71,1,1,no,0,0,0,0,0,0,two_year,0,credit_card_(automatic),25.35,1847.55,0.85
0177_pxbat,0,1,1,1,0,33,1,1,fiber_optic,1,0,1,1,1,1,month_to_month,1,bank_transfer_(automatic),109.9,3694.7,3.66
0178_ciikr,0,0,0,0,0,3,1,0,no,0,0,0,0,0,0,month_to_month,0,mailed_check,19.95,58.0,0.66
0178_szbho,0,1,0,1,1,47,1,1,fiber_optic,0,1,0,0,1,0,month_to_month,0,electronic_check,87.2,4017.45,2.91
0181_ritdd,0,1,0,1,1,62,1,0,fiber_optic,1,1,1,1,1,1,two_year,0,mailed_check,108.15,6825.65,3.6
0186_caerr,0,1,0,0,0,71,1,1,fiber_optic,1,1,1,1,1,1,one_year,1,bank_transfer_(automatic),116.3,8309.55,3.88
0187_qsxoe,0,1,1,1,0,7,1,0,fiber_optic,0,0,0,0,1,1,month_to_month,1,electronic_check,89.0,605.45,2.97
0187_wznab,0,0,0,1,1,27,1,0,fiber_optic,1,0,0,0,0,0,month_to_month,0,mailed_check,74.4,1972.35,2.48
0188_gwfle,0,1,0,0,0,2,1,0,no,0,0,0,0,0,0,month_to_month,0,mailed_check,20.05,33.7,0.67
0191_equuh,0,0,0,0,1,25,0,0,dsl,1,0,0,1,0,0,two_year,0,bank_transfer_(automatic),35.05,844.45,1.17
0191_zhskz,0,1,1,0,0,30,1,0,dsl,1,1,0,0,1,1,month_to_month,1,electronic_check,74.75,2111.3,2.49
0193_eszxp,1,0,1,1,0,58,1,0,fiber_optic,1,1,0,1,1,1,one_year,1,credit_card_(automatic),105.5,6205.5,3.52
0195_iescp,1,1,0,1,0,10,1,1,fiber_optic,0,0,0,0,0,1,month_to_month,1,electronic_check,85.25,855.3,2.84
0196_jtuqi,0,0,0,0,0,9,1,1,fiber_optic,0,0,0,0,0,0,month_to_month,1,credit_card_(automatic),75.2,633.85,2.51
0196_vulgz,1,0,1,1,0,6,1,1,fiber_optic,0,0,0,0,0,1,month_to_month,1,electronic_check,84.35,474.9,2.81
0197_pnknk,0,0,0,1,1,69,1,1,fiber_optic,1,0,1,0,0,0,one_year,0,bank_transfer_(automatic),84.45,5848.6,2.82
0201_mibol,0,0,1,0,0,66,1,1,fiber_optic,1,0,0,0,1,1,two_year,1,bank_transfer_(automatic),102.4,6471.85,3.41
0201_oamxr,1,0,0,0,0,70,1,1,fiber_optic,1,1,1,1,1,1,one_year,0,credit_card_(automatic),115.55,8127.6,3.85
0203_hhyij,1,1,0,0,0,25,1,1,no,0,0,0,0,0,0,one_year,0,bank_transfer_(automatic),25.3,676.35,0.84
0206_oyvoc,0,0,0,1,1,46,1,0,no,0,0,0,0,0,0,two_year,1,mailed_check,19.25,864.2,0.64
0206_tbwlc,0,0,0,1,0,54,1,1,fiber_optic,1,1,1,1,1,1,one_year,1,mailed_check,114.65,6049.5,3.82
0207_mdknv,1,0,0,0,0,15,1,0,fiber_optic,1,0,1,1,1,1,month_to_month,0,electronic_check,105.1,1582.75,3.5
0208_bpqej,0,0,0,1,1,12,1,0,no,0,0,0,0,0,0,month_to_month,0,bank_transfer_(automatic),19.4,198.1,0.65
0212_isbbf,0,0,0,0,0,22,0,0,dsl,0,1,0,0,1,1,month_to_month,1,electronic_check,50.35,1098.85,1.68
0214_jhpfw,0,0,0,1,0,70,0,0,dsl,0,1,1,1,1,1,two_year,0,bank_transfer_(automatic),57.8,4039.3,1.93
0215_bqkgs,0,1,0,0,0,30,1,0,fiber_optic,1,1,1,0,0,0,month_to_month,1,credit_card_(automatic),84.3,2438.6,2.81
0218_qnvas,0,1,0,1,1,71,1,1,fiber_optic,0,1,0,0,1,1,one_year,0,bank_transfer_(automatic),100.55,7113.75,3.35
0219_qaerp,0,1,0,1,0,30,1,0,no,0,0,0,0,0,0,one_year,0,credit_card_(automatic),19.8,576.65,0.66
0219_ytzue,1,1,0,1,1,4,1,1,fiber_optic,0,1,1,0,0,0,month_to_month,1,bank_transfer_(automatic),84.8,371.9,2.83
0220_ebgce,1,1,0,0,0,2,1,0,fiber_optic,0,0,1,0,0,1,month_to_month,1,electronic_check,85.85,167.3,2.86
0221_nauxk,0,1,0,0,1,10,1,0,no,0,0,0,0,0,0,one_year,1,bank_transfer_(automatic),19.95,219.5,0.66
0221_wmxnq,0,1,1,0,0,4,1,0,fiber_optic,1,0,0,0,0,0,month_to_month,0,electronic_check,75.35,273.4,2.51
0222_cnvpt,0,1,1,0,0,52,0,0,dsl,1,0,0,0,1,1,month_to_month,1,credit_card_(automatic),48.8,2555.05,1.63
0224_hjapt,1,1,0,0,0,5,1,1,dsl,0,0,0,0,0,0,month_to_month,0,electronic_check,47.15,223.15,1.57
0224_nijlp,0,1,0,1,1,8,1,0,no,0,0,0,0,0,0,two_year,0,mailed_check,20.15,165.5,0.67
0224_rlwwd,0,0,1,0,0,2,1,0,dsl,0,0,0,0,0,0,month_to_month,1,electronic_check,44.3,89.3,1.48
0225_zorzp,0,1,0,0,0,3,1,0,fiber_optic,0,1,0,0,0,1,month_to_month,0,electronic_check,84.3,235.05,2.81
0228_mauwc,0,1,0,0,0,19,1,1,dsl,0,0,1,1,0,0,month_to_month,0,electronic_check,59.55,1144.6,1.98
0229_lfjaf,0,1,0,0,0,72,1,1,dsl,1,1,1,1,0,0,two_year,0,bank_transfer_(automatic),69.65,4908.25,2.32
0230_ubypq,0,1,1,1,0,63,0,0,dsl,1,0,0,1,0,0,one_year,0,bank_transfer_(automatic),36.1,2298.9,1.2
0230_wequw,0,1,0,1,0,66,0,0,dsl,1,1,1,1,1,0,two_year,1,bank_transfer_(automatic),56.6,3789.2,1.89
0231_lxvap,1,1,0,0,0,1,1,0,fiber_optic,0,0,0,1,0,0,month_to_month,1,electronic_check,75.9,75.9,2.53
0233_fthav,0,0,0,0,0,60,1,1,fiber_optic,0,0,1,0,0,0,one_year,1,bank_transfer_(automatic),79.2,4765.0,2.64
0234_tevtt,0,0,0,1,1,48,0,0,dsl,1,0,1,0,0,1,one_year,0,credit_card_(automatic),45.0,2196.3,1.5
0235_kgslc,1,0,0,0,0,1,1,0,fiber_optic,0,0,1,0,1,0,month_to_month,1,credit_card_(automatic),85.55,85.55,2.85
0236_hfwsv,1,1,0,0,0,15,1,1,fiber_optic,0,0,0,0,1,1,month_to_month,1,electronic_check,93.35,1444.65,3.11
0237_yfutl,0,0,0,1,0,50,1,1,fiber_optic,1,1,0,1,1,1,month_to_month,1,bank_transfer_(automatic),109.65,5405.8,3.66
0238_whbiq,0,1,0,1,1,72,1,1,dsl,1,1,1,1,1,1,two_year,0,credit_card_(automatic),89.7,6339.3,2.99
0239_oxexl,0,0,0,0,0,46,1,1,fiber_optic,1,1,0,0,0,0,month_to_month,0,mailed_check,84.25,3847.6,2.81
0244_lgnfy,0,0,0,1,1,72,1,1,dsl,1,1,1,1,1,1,two_year,0,bank_transfer_(automatic),92.65,6733.0,3.09
0247_sluji,0,1,0,1,1,1,1,0,no,0,0,0,0,0,0,month_to_month,0,mailed_check,19.7,19.7,0.66
0248_ipdfw,0,0,0,0,0,1,1,1,dsl,0,0,0,0,0,0,month_to_month,1,electronic_check,50.1,50.1,1.67
0248_pghbz,0,0,1,0,0,67,1,0,fiber_optic,1,1,0,1,1,0,two_year,1,bank_transfer_(automatic),92.45,6140.85,3.08
0253_zteob,0,0,0,1,1,48,1,1,dsl,0,1,0,1,1,1,two_year,0,electronic_check,79.65,3870.3,2.66
0254_fnmci,0,0,0,0,0,72,1,0,fiber_optic,1,1,1,1,1,1,two_year,1,electronic_check,109.9,7624.2,3.66
0254_kcjgt,0,1,0,1,0,52,1,1,dsl,1,1,1,1,0,1,one_year,1,credit_card_(automatic),81.4,4354.45,2.71
0254_wwrkd,0,0,0,1,1,67,1,0,dsl,0,1,0,0,0,0,one_year,0,credit_card_(automatic),50.55,3431.75,1.68
0256_lthvj,1,0,0,1,1,28,1,0,fiber_optic,0,0,0,0,0,1,month_to_month,1,electronic_check,81.05,2227.1,2.7
0257_kxzgu,0,0,0,1,1,32,1,1,dsl,0,1,1,0,0,0,month_to_month,0,bank_transfer_(automatic),62.45,2045.55,2.08
0257_zesqc,1,0,1,1,0,27,1,0,fiber_optic,1,0,0,0,0,0,month_to_month,1,bank_transfer_(automatic),75.2,1929.35,2.51
0258_nokbl,0,1,0,0,0,3,1,0,fiber_optic,0,1,1,0,0,1,month_to_month,0,electronic_check,90.4,268.45,3.01
0259_gbzsh,1,1,0,0,0,2,1,1,fiber_optic,0,0,0,0,1,0,month_to_month,1,electronic_check,85.65,181.5,2.86
0260_zdlgk,1,0,0,0,1,9,1,0,dsl,0,0,1,1,1,1,month_to_month,1,mailed_check,72.9,651.4,2.43
